listing,price,serial,condition,weight,stock
Gibson ES-345 Sunburst 1959,"$34,995.00",Serial #A32733,VINTAGE,Weight: 9lbs 3oz,In Stock!
Reverend Double Agent W Midnight Black,"$1,099.00",,NEW,,In Stock!
PRS CE 24 Semi-Hollow Black Top w/w/Natural Back,"$2,799.00",Serial #0404796,NEW,Weight: 6lbs 15oz,In Stock!
Nash JM-63 British Racing Green Medium Relic w/Matching Headstock,"$3,167.00",Serial #CHI698,NEW,Weight: 8lbs 10oz,In Stock!
Mayones Aquila 6 Alder Aged Monolith Shell Pink,"$3,645.00",Serial #AQ2405412,NEW,Weight: 7lbs 3oz,In Stock!
Mayones Regius 7 Curly Poplar 4A/Flamed Alder Trans Dirty Red,"$5,285.00",Serial #RF2503051,NEW,Weight: 7lbs 2oz,In Stock!
"Fender Custom Shop 1968 Custom Telecaster ""Chicago Special"" Deluxe Closet Classic Super Faded/Aged Lavender Top & Back w/Shell Pink Side","$5,525.00",Serial #R140985,NEW,Weight: 7lbs 6oz,In Stock!
Fender Custom Shop 1968 Telecaster Deluxe Closet Classic Black Over Pink Paisley,"$4,720.00",Serial #R103032,USED,Weight: 7lbs,In Stock!
Epiphone Les Paul Standard '60s Figured Blueberry Burst,$630.00,Serial #24091530114,USED,Weight: 9lbs 6oz,In Stock!
Gretsch Limited Edition G6134TG Paisley Penguin with String-Thru Bigsby Gold Paisley,"$3,499.99",Serial #JT24113974,NEW,Weight: 8lbs 9oz,In Stock!
Dunable USA Gnarwhal Flame Maple Satin 3 Tone Burst,"$3,650.00",Serial #25232,NEW,Weight: 9lbs 4oz,In Stock!
Dunable USA Yeti Black Limba Satin Natural,"$3,600.00",Serial #25222,NEW,Weight: 8lbs 13oz,In Stock!
Funk SS Series Swirl,"$1,095.00",,USED,Weight: 7lbs 10oz,In Stock!
Mayones Regius Core 7 Quilted Maple 5A/Swamp Ash Trans Turquoise,"$7,999.00",Serial #RF2502044,NEW,Weight: 8lbs 4oz,In Stock!
PRS S2 Vela Space Blue,"$2,049.00",,NEW,,In Stock!
PRS S2 McCarty 594 Singlecut Honey Gold Burst,"$2,399.00",Serial #S2080838,NEW,Weight: 8lbs 13oz,In Stock!
PRS S2 McCarty 594 Black Amber,"$2,399.00",Serial #S2080074,NEW,Weight: 7lbs 1oz,In Stock!
Suhr Custom Classic T Swamp Ash Trans Blonde w/Roasted Maple Neck,"$4,399.00",Serial #80773,NEW,Weight: 7lbs 13oz,In Stock!
PRS DGT Gold Top w/Moon Inlays,"$4,420.00",Serial #0400631,NEW,Weight: 8lbs 1oz,In Stock!
Rickenbacker 518 Triple Neck Console 1956,"$1,995.00",Serial #N/A,VINTAGE,,In Stock!
LSL ERA SERIES T Bone SH Light Age Nitro Faded Shell Pink,"$2,350.00",Serial #7920,NEW,Weight: 6lbs 9oz,In Stock!
Rickenbacker 370-12 Fireglo 1998,"$2,995.00",Serial #W15148,USED,Weight: 7lbs 15oz,In Stock!
Airline 2-Pickup Electric Black 1960s,$895.00,,VINTAGE,Weight: 5lbs 5oz,In Stock!
Jackson Pro Series Signature Misha Mansoor Juggernaut HT6 Blue Sparkle,"$1,049.99",,NEW,,In Stock!
"Gibson Custom Shop 1960 Les Paul Standard ""CME Spec"" Tomato Soup Burst VOS w/60 V2 Neck","$6,999.00",Serial #04703,NEW,Weight: 8lbs 14oz,In Stock!
Novo Serus J Copper Sparkle Light Distress w/Fralin P-90s,"$4,499.00",Serial #25288,NEW,Weight: 7lbs 4oz,In Stock!
Gibson Original Les Paul Standard '50s Goldtop,"$2,999.00",Serial #205750256,NEW,Weight: 9lbs 9oz,In Stock!
Gibson Original Les Paul Standard '50s Tobacco Burst,"$2,999.00",Serial #205850314,NEW,Weight: 8lbs 10oz,In Stock!
Duesenberg Falken Tremolo Matte Black,"$3,999.00",,NEW,,In Stock!
"Gibson Custom Shop 1964 SG Standard ""CME Spec"" Antique Vintage Cherry VOS NH w/Maestro Vibrola","$5,499.00",Serial #500414,NEW,Weight: 7lbs 12oz,In Stock!
"Gibson Custom Shop Explorer Custom ""CME Spec"" Blue Frost Sparkle/Black Back VOS","$6,799.00",Serial #CS500104,NEW,Weight: 9lbs 6oz,In Stock!
Epiphone Olympic Double Black 1965,"$2,995.00",Serial #506966,VINTAGE,Weight: 5lbs 7oz,In Stock!
G&L USA Legcay Sunburst,"$1,095.00",Serial #CLF37869,USED,Weight: 8lbs 4oz,In Stock!
Fender Custom Shop '63 Telecaster Relic Sunburst 2017,"$3,295.00",Serial #R88406,USED,Weight: 7lbs 3oz,In Stock!
Ibanez Q52PE Quest Standard Natural Flat 2024,$995.00,Serial #I240311493,USED,Weight: 4lbs 14oz,In Stock!
Chapman Guardian Purple Metallic Satin 2024,$795.00,Serial #H24050194,USED,Weight: 7lbs 11oz,In Stock!
Gibson Custom Shop '54 Les Paul w/1972 Embossed Mini Humbuckers Goldtop 1996,"$4,000.00",Serial #46083,USED,Weight: 8lbs 13oz,In Stock!
Fender Custom Shop Cunetto Stratocaster Surf Green 1998,"$5,500.00",Serial #R5916,USED,Weight: 7lbs 8oz,In Stock!
Gibson ES-340 Natural 1972,"$5,495.00",Serial #686233,VINTAGE,Weight: 8lbs 4oz,In Stock!
Epiphone Les Paul Standard Black 2003,$395.00,Serial #EE03111751,USED,Weight: 8lbs 2oz,In Stock!
Dunable DE Yeti Swamp Ash Matte White,"$1,399.00",,NEW,,In Stock!
Gibson Custom Shop 1963 SG Special Reissue Antique Pewter Sparkle VOS,"$4,799.00",Serial #500043,NEW,Weight: 6lbs 15oz,In Stock!
Fender American Ultra II Stratocaster HSS Solar Flare,"$2,359.99",Serial #US24020952,NEW,Weight: 8lbs 2oz,In Stock!
Yamaha Revstar Professional RSP20T Swift Blue,"$1,980.00",Serial #IKX355E,DEMO,Weight: 8lbs 11oz,In Stock!
Nash S-63 Aztec Gold Medium Relic,"$2,795.00",Serial #CHI763,NEW,Weight: 7lbs 14oz,In Stock!
Eastman AR810CE Archtop Classic,"$3,549.00",,NEW,,In Stock!
Gibson Modern SG Supreme Wine Red,"$3,499.00",Serial #206250142,NEW,Weight: 6lbs 12oz,In Stock!
Gibson Original ES-335 LEFTY Vintage Burst,"$3,499.00",Serial #207440303,NEW,Weight: 7lbs 13oz,In Stock!
Powers Electric A-Type Select Flame Shadow Black w/PF42 Pickups,"$4,299.00",Serial #A869,NEW,Weight: 6lbs 7oz,In Stock!
Gretsch G6122T-62 Vintage Select Edition '62 Chet Atkins Country Gentleman Hollow Body Walnut Stain w/Bigsby,"$3,679.99",,NEW,,In Stock!
"Fender Custom Shop 1952 Telecaster HS ""Chicago Special"" NOS Medium Palomino Metallic","$3,925.00",Serial #R142825,NEW,Weight: 8lbs 1oz,In Stock!
Gibson Original ES-345 LEFTY Vintage Burst,"$3,799.00",Serial #204040267,NEW,Weight: 8lbs 1oz,In Stock!
"Fender Custom Shop 1955 Telecaster ""Chicago Special"" NOS Medium Palomino Metallic","$4,000.00",Serial #R144626,NEW,Weight: 6lbs 15oz,In Stock!
Gibson Custom Shop 1965 Non-Reverse Firebird V Vintage Sunburst VOS w/Maestro Vibrola,"$4,499.00",Serial #400775,NEW,Weight: 7lbs 14oz,In Stock!
Suhr Custom Classic JM Copper Firemist Metallic w/Roasted Maple Neck,"$4,399.00",Serial #80844,NEW,Weight: 7lbs 3oz,In Stock!
Gibson Custom Shop 1963 SG Junior Antique Heather Poly VOS,"$4,799.00",Serial #500543,NEW,Weight: 6lbs 6oz,In Stock!
Fender Stratocaster Sea Foam Green 1963,"$125,000.00",Serial #L10269,VINTAGE,Weight: 7lbs 13oz,In Stock!
PRS Custom 24 10 Top Black Gold Wraparound Burst,"$5,490.00",Serial #0404612,NEW,Weight: 7lbs 7oz,In Stock!
PRS McCarty 594 10 Top Faded Blue Jean,"$5,600.00",Serial #0402037,NEW,Weight: 8lbs 1oz,In Stock!
Dunable USA 10th Anniversary Cyclops Cocobolo Natural,"$4,950.00",Serial #23515,USED,Weight: 8lbs 3oz,In Stock!
"Gibson Custom Shop 1961 Les Paul SG Standard ""CME Spec"" Aniline Dye VOS w/Maestro Vibrola","$5,499.00",Serial #500201,NEW,Weight: 7lbs 13oz,In Stock!
"Gibson Custom Shop 1964 SG Standard ""CME Spec"" True Historic Red Aniline Dye Murphy Lab Ultra Light Aged","$6,099.00",Serial #402694,NEW,Weight: 6lbs 3oz,In Stock!
"Gibson Custom Shop 1957 Les Paul Standard ""CME Spec"" Heavy Antique Factory Burst VOS W/Single Custom ""S"" Bucker & Carmelita Neck","$6,599.00",Serial #75367,NEW,Weight: 8lbs 10oz,In Stock!
"Fender Custom Shop 1970 Jazzmaster Ash ""Chicago Special"" Heavy Relic Super Aged Sienna Sunburst","$6,760.00",Serial #R141363,NEW,Weight: 8lbs 7oz,In Stock!
"Gibson Custom Shop 1959 Les Paul Standard ""CME Spec"" Royal Tea Burst Gloss w/59 Carmelita Neck","$6,999.00",Serial #95963,NEW,Weight: 8lbs 14oz,In Stock!
Gibson Custom Shop 1959 Les Paul Standard Beauty of the Burst 74 VOS,"$7,299.00",Serial #951038,NEW,Weight: 8lbs 3oz,In Stock!
"Gibson Custom Shop 1959 Les Paul Standard ""CME Spec"" Green Lemon VOS w/59 Carmelita Neck","$6,999.00",Serial #95577,NEW,Weight: 8lbs 13oz,In Stock!
Gibson Custom Shop 1959 Les Paul Standard Beauty of the Burst 40 VOS w/Double Classic White Custombuckers,"$7,299.00",Serial #951060,NEW,Weight: 8lbs 15oz,In Stock!
Gibson Custom Shop 1959 Les Paul Standard Reissue Factory Burst Murphy Lab Ultra Light Aged,"$7,199.00",Serial #951002,NEW,Weight: 8lbs 14oz,In Stock!
Dunable DE Gnarwhal Gloss Silverburst w/Blocks,"$1,349.00",,NEW,,In Stock!
Nash S-63 Shell Pink Medium Relic,"$2,795.00",Serial #CHI781,NEW,Weight: 7lbs 8oz,In Stock!
Nash S-57 Candy Apple Red Medium Relic,"$2,945.00",Serial #CHI761,NEW,Weight: 7lbs 12oz,In Stock!
Nash S-57 Dakota Red Medium Relic,"$2,795.00",Serial #CHI745,NEW,Weight: 7lbs 7oz,In Stock!
Fender Stories Collection Mike Campbell Red Dog Telecaster Red Dog Red,"$3,679.99",Serial #MC250398,NEW,Weight: 8lbs 15oz,In Stock!
Fender Stories Collection Mike Campbell Red Dog Telecaster Red Dog Red,"$3,679.99",Serial #MC250587,NEW,Weight: 9lbs 5oz,In Stock!
Fender Stories Collection Mike Campbell Red Dog Telecaster Red Dog Red,"$3,679.99",Serial #MC250312,NEW,Weight: 9lbs 6oz,In Stock!
Fender Telecaster Black 1970,"$13,995.00",Serial #288861,VINTAGE,Weight: 7lbs 8oz,In Stock!
Nash JM-63 Surf Green Medium Relic w/Matching Headstock,"$3,342.00",Serial #CHI727,NEW,Weight: 8lbs 5oz,In Stock!
Suhr Classic S HSS Indigo Metallic,"$3,699.00",Serial #85087,NEW,Weight: 7lbs 9oz,In Stock!
Suhr Custom Classic JM Pelham Blue w/Roasted Maple Neck,"$4,399.00",Serial #80847,USED,Weight: 7lbs 12oz,In Stock!
Jackson JS Series Kelly JS32 Snow White,$449.99,,NEW,,In Stock!
Fender Custom Shop '50s 250K Jazzmaster Relic Faded Aged Sonic Blue Master Built by Levi Perry,"$9,920.00",Serial #LP0113,NEW,Weight: 8lbs 1oz,In Stock!
Fender Custom Shop 1960 Custom Telecaster Deluxe Closet Classic Faded/Aged 3-Color Sunburst,"$5,325.00",Serial #R141990,NEW,Weight: 7lbs 11oz,In Stock!
Gibson Custom Shop 1959 Les Paul Standard Reissue Kindred Burst Murphy Lab Ultra Heavy Aged,"$10,699.00",Serial #95626,NEW,Weight: 8lbs 9oz,In Stock!
Gibson Custom Historic Tom Murphy Aged '59 Les Paul Standard Cherry Sunburst 2001,"$10,995.00",Serial #91155,USED,Weight: 8lbs 12oz,In Stock!
G&L ASAT Black 1987,"$2,195.00",Serial #6021546,USED,Weight: 8lbs 2oz,In Stock!
Fender Telecaster Candy Apple Red 1966,"$24,995.00",Serial #170429,VINTAGE,Weight: 7lbs 8oz,In Stock!
Balaguer Toro Ambassador Island Burst,$995.00,,USED,Weight: 7lbs 1oz,In Stock!
Rickenbacker 320 B Jetglo 1982,"$3,395.00",Serial #VF1673,USED,Weight: 6lbs 14oz,In Stock!
Fender Bajo Sexto Telecaster Blonde 2014,"$4,995.00",Serial #CN1400737,USED,Weight: 7lbs 12oz,In Stock!
Bacci Leonardo Dual Output Baritone Lavender,"$4,195.00",Serial #110BLF00047,USED,Weight: 7lbs 8oz,In Stock!
Jackson JS Series Dinky JS11 Snow White,$199.99,,NEW,,In Stock!
Jackson JS Series Dinky JS11 Metallic Red,$199.99,,NEW,,In Stock!
Jackson JS Series Rhoads JS32T White w/Black Bevels,$449.99,,NEW,,In Stock!
Fender Custom Shop 1959 Stratocaster Deluxe Closet Classic Faded Fiesta Red Master Built by Dale Wilson w/Gold Hardware & AA Flame Neck,"$9,440.00",Serial #CZ578388,NEW,Weight: 7lbs 7oz,In Stock!
Gibson Modern Victory TV Yellow Satin,"$1,999.00",,NEW,,In Stock!
Gibson Modern Les Paul Studio Tobacco Burst,"$1,599.00",,NEW,,In Stock!
Gibson Original Les Paul Special Ebony,"$1,799.00",,NEW,,In Stock!
Strandberg Boden Standard NX 7 Purple,"$1,745.00",,NEW,,In Stock!
Strandberg Boden Original NX 6 Charcoal Black,"$2,295.00",,NEW,,In Stock!
Strandberg Boden Essential 6 Astro Dust,"$1,099.00",,NEW,,In Stock!
Strandberg Salen Jazz NX 6 Black,"$2,349.00",,NEW,,In Stock!
Strandberg Boden Essential 6 Black Granite,"$1,099.00",,NEW,,In Stock!
Gibson Byrdland Ebony refinish 1975,"$7,995.00",Serial #511980,VINTAGE,Weight: 7lbs 1oz,In Stock!
Suhr Oso Short Scale Tea Burst w/Figured Maple Top,"$4,525.00",,NEW,,Pre-Order
Suhr Oso Short Scale Custom Orange Stain w/Figured Maple Top,"$4,525.00",,NEW,,Pre-Order
Suhr Oso Short Scale Trans Red,"$3,925.00",,NEW,,Pre-Order
Suhr Reb Beach Signature Series Standard Natural w/Koa Top,"$4,299.00",,NEW,,Pre-Order
Suhr Andre Nieri Signature Series Classic T Nieri Burst w/Figured Maple Top,"$4,299.00",,NEW,,Pre-Order
Suhr Andy Wood Signature Series Modern T Arancio Orange,"$4,299.00",,NEW,,Pre-Order
Gibson Firebird III Sunburst 1964,"$10,995.00",Serial ##212560,VINTAGE,Weight: 9lbs 3oz,In Stock!
Fender Telecaster Candy Apple Red 1966,"$25,995.00",Serial #171988,VINTAGE,Weight: 7lbs 10oz,In Stock!
Gibson ES-355 Cherry 1962,"$29,995.00",Serial #51365,VINTAGE,Weight: 8lbs 9oz,In Stock!
Nash S-57 Ocean Turquoise Metallic Medium Relic,"$2,795.00",Serial #CHI-729,NEW,Weight: 7lbs 11oz,In Stock!
Fender American Ultra II Meteora Ultraburst,"$2,359.99",Serial #US25017929,NEW,Weight: 7lbs 12oz,In Stock!
Nash S-63 Candy Tangerine Light Relic,"$2,855.00",Serial #CHI-732,NEW,Weight: 7lbs 13oz,In Stock!
Fender Custom Shop 1959 Stratocaster Deluxe Closet Classic Super Aged Sonic Blue Master Built by Dale Wilson w/Gold Hardware & AA Flame Neck,"$9,440.00",Serial #CZ578353,NEW,Weight: 7lbs 3oz,In Stock!
Gibson Les Paul Modern Figured Cherry Burst,"$2,999.00",Serial #202250096,NEW,Weight: 8lbs 7oz,In Stock!
Powers Electric A-Type Select Flame Transparent Saffron Yellow Metallic w/PF42 Pickups,"$4,299.00",Serial #A888,NEW,Weight: 6lbs 10oz,In Stock!
Suhr Custom Classic T Swamp Ash Trans Seafoam Green w/Roasted Maple Neck,"$4,399.00",Serial #80776,NEW,Weight: 7lbs 2oz,In Stock!
Suhr Custom Classic T Natural w/CME-Selected Figured Walnut Top,"$4,799.00",Serial #83430,NEW,Weight: 5lbs 14oz,In Stock!
Fano Alt de Facto RB6 Antigua Burst Light Distress w/Mojo Pickups & Stainless Steel Frets,"$4,750.00",Serial #250220,NEW,Weight: 6lbs,In Stock!
Nash S-63 Inca Silver Medium Relic,"$2,795.00",Serial #CHI733,NEW,Weight: 7lbs 11oz,In Stock!
Jackson American Series Soloist SL2 DX Snow White,"$2,629.99",,NEW,,In Stock!
Jackson American Series Soloist SL2 DX HT Satin Porsche Gray,"$2,519.99",,NEW,,In Stock!
Gibson Limited Edition Firebird V Medallion Sunburst 1972,"$7,995.00",Serial #72881,VINTAGE,Weight: 8lbs 7oz,In Stock!
Epiphone Jared James Nichols Old Glory Les Paul Black 2019,$750.00,Serial #19031530909,USED,Weight: 8lbs 4oz,In Stock!
Ovation VXT Hybrid Sunburst 2007,"$1,295.00",Serial #7 0235,USED,Weight: 6lbs 14oz,In Stock!
Schecter Synyster Gates Custom-6 TR-S Headless Electric Guitar Satin Black,"$2,299.00",,NEW,,In Stock!
Heritage Custom Shop Core H-535 Semi-Hollow Body Antique Natural,"$4,799.00",Serial #HC1241581,NEW,Weight: 7lbs 13oz,In Stock!
Heritage Custom Shop Core H-150 Tobacco Sunburst w/CME Hand-Selected Top,"$4,099.00",Serial #HC1241368,NEW,Weight: 8lbs 9oz,In Stock!
Heritage Custom Shop Factory Special H-535 Faded Orange w/60s Neck,"$4,299.00",Serial #HC1250450,NEW,Weight: 8lbs 1oz,In Stock!
PRS DGT 10 Top McCarty Sunburst w/Bird Inlays,"$5,540.00",Serial #0395192,NEW,Weight: 8lbs 5oz,In Stock!
Rock n Roll Relics Starfighter Green Machine Sparkle Flake w/Humbuckers,"$4,800.00",Serial #251850,NEW,Weight: 8lbs 1oz,In Stock!
Fender Custom Shop Limited Edition Hardtail 1954 Stratocaster Time Capsule Desert Sand,"$4,575.00",,NEW,Weight: 7lbs 4oz,In Stock!
"Gibson Custom Shop 1964 SG Standard ""CME Spec"" LEFTY Cherry Red VOS","$5,599.00",Serial #403974,NEW,Weight: 6lbs 12oz,In Stock!
Collings 290 DC S Aged Charcoal Frost w/Lollar PIckups,"$6,450.00",Serial #290DC24578,NEW,Weight: 7lbs 9oz,In Stock!
Music Man Luke 4 Maple Top HH Afterburn w/ Roasted Figured Maple Neck,"$3,699.00",Serial #H08376,NEW,Weight: 7lbs 2oz,In Stock!
Rickenbacker 365 Fireglo 1966,"$4,495.00",Serial #FC850,VINTAGE,Weight: 7lbs 3oz,In Stock!
Fender Duosonic II Blonde 1966,"$3,995.00",Serial #119640,VINTAGE,Weight: 6lbs 12oz,In Stock!
Music Man Game Changer Reflex HSH Hardtail Piezo Black 2012,"$1,695.00",Serial #G62417,USED,Weight: 7lbs 12oz,In Stock!
Rickenbacker Rose Morris Fireglo 1964,"$5,995.00",Serial #DK716,VINTAGE,Weight: 7lbs 7oz,In Stock!
Rock n Roll Relics Revenge Jr Van Series Root Beer Van Sparkle w/Humbucker,"$4,300.00",Serial #241828,NEW,Weight: 7lbs 1oz,In Stock!
Powers Electric A-Type Select Quilt Dark Cabernet Red w/PF42 Pickups,"$4,499.00",Serial #A850,NEW,Weight: 6lbs 8oz,In Stock!
Nash S-57 Seafoam Green Medium Relic,"$2,795.00",Serial #CHI717,NEW,Weight: 7lbs 11oz,In Stock!
Fender Custom Shop American Custom Stratocaster NOS Vintage Blonde,"$4,625.00",Serial #XN18013,NEW,Weight: 7lbs 7oz,In Stock!
Gretsch Custom Shop G6136T-59 Falcon NOS Medium Palomino Metallic Master Built by Gonzalo Madrigal,"$10,100.00",Serial #UC25023844,NEW,Weight: 8lbs 4oz,In Stock!
Music Man Luke 4 HSS Butane Blue w/ Roasted Figured Maple Neck,"$3,299.00",,NEW,,In Stock!
Music Man Luke 4 HH Black Sparkle w/ Roasted Figured Maple Neck,"$3,299.00",,NEW,,In Stock!
PRS Limited Edition SE Exotic Custom 24 Swamp Ash Burl Natural,$949.00,Serial #CTIG106236,NEW,Weight: 7lbs 12oz,In Stock!
Rickenbacker 330 w/Added Trem Fireglo 1966,"$5,095.00",Serial #FB656,VINTAGE,Weight: 7lbs 4oz,In Stock!
Nash S-63 Vintage White Medium Relic,"$2,855.00",Serial #CHI748,NEW,Weight: 7lbs 8oz,In Stock!
Suhr Custom Classic T Swamp Ash Trans Fiesta Red w/Roasted Maple Neck,"$4,399.00",Serial #80775,NEW,Weight: 7lbs 8oz,In Stock!
Gretsch 6119T-62 Tennessee Rose Walnut,"$2,095.00",Serial #2892371,USED,Weight: 8lbs 5oz,In Stock!
Gibson Les Paul Double Cut Standard Green Jalapeno 1998,"$2,295.00",Serial #91538520,USED,Weight: 7lbs 3oz,In Stock!
Hagstrom Swede Red,$795.00,Serial #M06010129,USED,Weight: 9lbs 7oz,In Stock!
PRS Limited Edition SE Exotic McCarty 594 Laurel Burl Vintage Sunburst,$989.00,Serial #CTIH005972,NEW,Weight: 6lbs 15oz,In Stock!
PRS Limited Edition SE Exotic McCarty 594 Laurel Burl Vintage Sunburst,$989.00,Serial #CTIH002601,NEW,Weight: 6lbs 15oz,In Stock!
PRS Limited Edition SE Exotic Custom 24-08 Poplar Burl Charcoal Cherry Midnight Burst,$949.00,Serial #CTIG096075,NEW,Weight: 7lbs 7oz,In Stock!
PRS Limited Edition SE Exotic Custom 24 Swamp Ash Burl Lake Blue w/Natural Back,$949.00,Serial #CTIG113829,NEW,Weight: 7lbs 7oz,In Stock!
PRS Limited Edition SE Exotic Custom 24 Swamp Ash Burl Lake Blue w/Natural Back,$949.00,Serial #CTIG113910,NEW,Weight: 8lbs 4oz,In Stock!
"Gibson Custom Shop 1961 Les Paul SG Standard ""CME Spec"" Antique TV Yellow VOS w/Flat Short Maestro Vibrola","$6,299.00",Serial #404341,NEW,Weight: 7lbs 7oz,In Stock!
Suhr Custom Modern Brown Burst w/CME-Selected Spalt Maple Top,"$5,599.00",Serial #83727,NEW,Weight: 7lbs 7oz,In Stock!
Gibson Artist Warren Haynes Les Paul Standard Sixties Cherry,"$2,799.00",Serial #200750274,NEW,Weight: 9lbs 8oz,In Stock!
"Gibson Custom Shop Explorer Custom ""CME Spec"" Silver Sparkle VOS","$6,799.00",Serial #CS500194,NEW,Weight: 9lbs 1oz,In Stock!
Jackson Custom Shop '82 Dinky Reissue Crayon Grey,"$3,995.00",Serial #XN17628,USED,Weight: 7lbs 11oz,In Stock!
Gibson Custom Shop 1957 Les Paul Special Single Cut Antique Polaris White Murphy Lab Heavy Aged,"$8,099.00",Serial #75002,NEW,Weight: 8lbs 11oz,In Stock!
"Gibson Custom Shop 1963 Les Paul SG Custom ""CME Spec"" Polaris White VOS w/Maestro Vibrola & Full Batwing Pickguard","$8,399.00",Serial #407923,NEW,Weight: 7lbs 15oz,In Stock!
"Gibson Custom Shop 1959 Les Paul Standard ""CME Spec"" Chambered Dirty Lemon Fade VOS w/Lightweight Back","$7,999.00",Serial #95267,NEW,Weight: 6lbs 12oz,In Stock!
"Gibson Custom Shop 1959 Les Paul Standard ""CME Spec"" Cherry Tea Burst VOS w/59 Carmelita Neck","$6,999.00",Serial #95498,NEW,Weight: 8lbs 12oz,In Stock!
Nash S-57 Surf Green Light Relic,"$2,795.00",Serial #CHI728,NEW,Weight: 7lbs 12oz,In Stock!
Music Man StingRay Dustin Kensrue Electric Guitar HS Daiquiri Ice,"$2,999.00",,NEW,,In Stock!
PRS 40th Anniversary Limited Edition Custom 24-08 Semi-Hollow Charcoal Cherry Burst,"$6,950.00",Serial #0401069,NEW,Weight: 6lbs 14oz,In Stock!
PRS 40th Anniversary Limited Edition Custom 24-08 Semi-Hollow Faded Whale Blue Smokeburst,"$6,950.00",Serial #0400168,NEW,Weight: 6lbs 10oz,In Stock!
Gibson Original Firebird Platypus Vintage Cherry,"$2,499.00",Serial #202250039,NEW,Weight: 8lbs 5oz,In Stock!
Gibson Original Firebird Platypus Vintage Cherry,"$2,499.00",Serial #202850306,NEW,Weight: 8lbs 3oz,In Stock!
Gibson Original Firebird Platypus Vintage Cherry,"$2,499.00",Serial #203150094,NEW,Weight: 8lbs,In Stock!
Gibson Original Firebird Platypus Tobacco Sunburst,"$2,499.00",Serial #212150080,NEW,Weight: 8lbs 1oz,In Stock!
Gibson Original Firebird Platypus Ebony,"$2,499.00",Serial #202250294,NEW,Weight: 8lbs 3oz,In Stock!
PRS Custom 24 Carroll Blue,"$4,690.00",Serial #0401507,NEW,Weight: 7lbs 4oz,In Stock!
Schecter PT FR-S SLS Elite Evil Twin Satin Black,"$1,699.00",,NEW,,In Stock!
Epiphone Casino Sunburst 2023,$550.00,Serial #23071511437,USED,Weight: 6lbs 7oz,In Stock!
Fender Elite Stratocaster Sunburst 1983,"$1,795.00",Serial #F346884,USED,Weight: 8lbs 2oz,In Stock!
Ibanez RGR6BSPIPT RG Standard Electric Guitar Iron Pewter,"$1,499.99",,NEW,,In Stock!
ESP LTD ARROW-1000 Dark Brown Sunburst Satin w/ Quilted Maple Top,"$1,440.00",Serial #W23122024,USED,,In Stock!
Fender Custom Shop 1974/51 Nocaster Heavy Relic Black/Nocaster Blonde Master Built by David Brown w/CuNiFe Humbucker,"$9,800.00",Serial #R135177,NEW,Weight: 6lbs 3oz,In Stock!
Eastman T484 Thinline Truetone Gloss Black,"$1,839.00",,NEW,,In Stock!
Gibson Custom Shop 1954 Les Paul Standard Brunswick Blue VOS,"$6,899.00",Serial #45022,NEW,Weight: 8lbs 3oz,In Stock!
Powers Electric A-Type Two-Tone Aubergine Top & Ruby Star Back/Sides w/PF42 Pickups,"$4,299.00",Serial #A825,NEW,Weight: 6lbs 8oz,In Stock!
Heritage H-535 Sunburst 1987,"$2,895.00",Serial #F22302,USED,Weight: 7lbs 8oz,In Stock!
Epiphone Flying V Prophecy Yellow Tiger 2021,$695.00,Serial #21051539207,USED,Weight: 6lbs 8oz,In Stock!
Sire Larry Carlton S5 Surf Green Metallic,$469.00,,NEW,,In Stock!
Fender Stratocaster Sunburst 1970,"$12,995.00",Serial ##282286,VINTAGE,Weight: 7lbs 15oz,In Stock!
Suhr Custom Modern Carve Top Set Neck Aged Cherry Burst,"$7,099.00",Serial #84688,NEW,Weight: 7lbs 15oz,In Stock!
Nash S-57 Fiesta Red Heavy Relic,"$2,795.00",Serial #CHI730,NEW,Weight: 7lbs 11oz,In Stock!
Harmony Factory Special Jupiter Thinline Flame Maple Top 3-Tone Sunburst,"$1,899.00",Serial #0250321,NEW,Weight: 5lbs 14oz,In Stock!
Fender American Ultra II Stratocaster HSS Texas Tea,"$2,359.99",Serial #US25018576,NEW,Weight: 8lbs 10oz,In Stock!
Fender American Ultra II Telecaster Solar Flare,"$2,299.99",Serial #US24061530,NEW,Weight: 7lbs 4oz,In Stock!
Epiphone Casino (Modified 3 Humbuckers) Sunburst 1960s,"$4,595.00",Serial #73654,VINTAGE,Weight: 5lbs 11oz,In Stock!
Fender Custom Shop Custom '50s Stratocaster HH Relic Aged Surf Green Apprentice Built by Dylan Del Pizzo-Howell,"$7,375.00",Serial #CZ552244,NEW,Weight: 7lbs 12oz,In Stock!
Nash S-57 Black Light Relic,"$2,795.00",Serial #CHI744,NEW,Weight: 8lbs,In Stock!
Gibson Original ES-345 Vintage Burst,"$3,799.00",Serial #220140337,NEW,Weight: 8lbs 2oz,In Stock!
Fender Custom Shop Offset Stratocaster Deluxe Closet Classic Sage Green Metallic Master Built by Kyle McMillin,"$9,050.00",Serial #KM1252,NEW,Weight: 7lbs 12oz,In Stock!
Epiphone Casino Sunburst 1967,"$7,495.00",Serial #052688,VINTAGE,Weight: 5lbs 13oz,In Stock!
Taylor T5z Classic Hawaiian Koa/Sapele Shaded Edgeburst,"$2,799.00",Serial #1212114097,NEW,Weight: 5lbs 4oz,In Stock!
